"Nro Empenho"|"Nro Processo"|"Fornecedor"|"Data Empenho"|"Descrição Empenho"|"Função"|"Sub Função"|"Fonte Recurso"|"Aplicação"|"Natureza"|"Unidade Orçamentária"|"Programa"|"Ação"|"Modalidade de Licitação"|"Empenho Original"|"Estorno Empenho"|"Saldo Empenho"|"Valor Processado"|"Valor Pago"
"00024-01"|"E00379/2022"|"<b>Amhe Med </b><br>Amhe Med Assistencia a Saude Ltda <br>(29.174.910/0002-53)"|"31/07/2024"|"CPL 711/22 SERV DIARIAS LEITOS UTI E ENF ERMARIA FL. 772"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-25887.41|-25887.41|0.00|0.00
"00024-01"|"E00708/2019"|"Cs Brasil Frotas Ltda <br>(27.595.780/0001-16)"|"02/01/2023"|"REEMPENHO NE:8.899/22- LOCACAO DE  VEI- CULO REAJUST.-CPL V03.708/2019-FL.468"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|15248.74|-15248.74|0.00|0.00|0.00
"00024-01"|"O31380/2021"|"Irmandade Santa Casa de Misericordia Sorocaba <br>(71.485.056/0001-21)"|"02/01/2025"|"POA SANTA CASA"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.3.50.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Outros"|9378382.26|0.00|9378382.26|9378382.26|9378382.26
"00032-01"|"I00424/2017"|"Vivver Sistemas Ltda <br>(03.381.389/0001-50)"|"02/01/2024"|"CPL424/2020(DAG)-VIVVER (SIS)- R.139/24 - FL.431 VERSO"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.40.00-Servicos Tecnologia Informacao e Comunicacao - Pj"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2109-Atencao Primaria em Saude"|"Inexigibilidade"|1006100.00|0.00|1006100.00|755963.02|755963.02
"00032-01"|"I00424/2017"|"Vivver Sistemas Ltda <br>(03.381.389/0001-50)"|"26/12/2024"|"CPL424/2020(DAG)-VIVVER (SIS)- R.139/24 - FL.431 VERSO"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.40.00-Servicos Tecnologia Informacao e Comunicacao - Pj"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2109-Atencao Primaria em Saude"|"Inexigibilidade"|0.00|-160666.40|-160666.40|0.00|0.00
"00033-01"|"I00424/2017"|"Vivver Sistemas Ltda <br>(03.381.389/0001-50)"|"02/01/2024"|"CPL424/2020(DAG)-VIVVER (SIS) -R.140/24 - FL.431 VERSO"|"Saude"|"Administracao Geral"|"Tesouro"|"Atencao Basica"|"3.3.90.40.00-Servicos Tecnologia Informacao e Comunicacao - Pj"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2019-Manutencao e Modernizacao dos Servicos Administrat Ivos"|"Inexigibilidade"|151146.88|0.00|151146.88|0.00|0.00
"00033-01"|"I00424/2017"|"Vivver Sistemas Ltda <br>(03.381.389/0001-50)"|"11/10/2024"|"CPL424/2020(DAG)-VIVVER (SIS) -R.140/24 - FL.431 VERSO"|"Saude"|"Administracao Geral"|"Tesouro"|"Atencao Basica"|"3.3.90.40.00-Servicos Tecnologia Informacao e Comunicacao - Pj"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2019-Manutencao e Modernizacao dos Servicos Administrat Ivos"|"Inexigibilidade"|0.00|-151146.80|-151146.80|0.00|0.00
"00033-01"|"I00424/2017"|"Vivver Sistemas Ltda <br>(03.381.389/0001-50)"|"26/12/2024"|"CPL424/2020(DAG)-VIVVER (SIS) -R.140/24 - FL.431 VERSO"|"Saude"|"Administracao Geral"|"Tesouro"|"Atencao Basica"|"3.3.90.40.00-Servicos Tecnologia Informacao e Comunicacao - Pj"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2019-Manutencao e Modernizacao dos Servicos Administrat Ivos"|"Inexigibilidade"|0.00|-0.08|-0.08|0.00|0.00
"00034-01"|"O00368/2022"|"Banco do Brasil S.a. <br>(00.000.000/0001-91)"|"01/12/2023"|"ESTIMATIVA TARIFAS BANCARIAS 2023"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2019-Manutencao e Modernizacao dos Servicos Administrat Ivos"|"Outros"|0.00|-112.11|-112.11|0.00|0.00
"00034-01"|"O00368/2022"|"Banco do Brasil S.a. <br>(00.000.000/0001-91)"|"02/01/2023"|"ESTIMATIVA TARIFAS BANCARIAS 2023"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2019-Manutencao e Modernizacao dos Servicos Administrat Ivos"|"Outros"|200.00|0.00|200.00|87.89|87.89
