"Nro Empenho"|"Nro Processo"|"Fornecedor"|"Data Empenho"|"Descrição Empenho"|"Função"|"Sub Função"|"Fonte Recurso"|"Aplicação"|"Natureza"|"Unidade Orçamentária"|"Programa"|"Ação"|"Modalidade de Licitação"|"Empenho Original"|"Estorno Empenho"|"Saldo Empenho"|"Valor Processado"|"Valor Pago"
"13682-01"|"E00338/2017"|"Incoterm Industria de Termometros Ltda <br>(87.156.352/0001-19)"|"24/07/2017"|"SC.386/17 AQ.ABAIXADORES LINGUA PA 338/1 7  RESERVA 2157"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"4004-Saude da Familia - Sf"|"Pregao Eletronico"|5000.00|0.00|5000.00|1250.00|1250.00
"13684-01"|"E00338/2017"|"Cirurgica Sao Jose Ltda. <br>(55.309.074/0001-04)"|"24/07/2017"|"CPL 338/17 - FORNECIMENTO DE ABAIXADORES LINGUA E TERMOMETROS P/UNIDADES SAUDE"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"4004-Saude da Familia - Sf"|"Pregao Eletronico"|5628.00|0.00|5628.00|2814.00|938.00
"13685-01"|"E00622/2016"|"Star Med Artigos Medicos e Hospitalares Ltda. <br>(02.223.342/0001-04)"|"24/07/2017"|"CPL 622/16 VOL.05 FORNECIMENTO CATETERES P/ REDE MUNICIPAL DE SAUDE"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"4004-Saude da Familia - Sf"|"Pregao Eletronico"|4950.00|0.00|4950.00|4950.00|4950.00
"13690-01"|"S00571/2017"|"Danilo Moreno Bellato <br>(22.588.179/0001-82)"|"24/07/2017"|"SC 726/17-SERV.INSTAL.APARELHO AR CONDI- CIONADO NO LABAC RESERVA 2973 CPL 571/17"|"Saude"|"Vigilancia Epidemiologica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 05 - Vigilancia em Saude"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"4026-Piso Fixo de Vigilancia em Saude ( Pfvs)"|"Dispensa de Licitacao"|950.00|0.00|950.00|950.00|950.00
"13692-01"|"O00000/2017"|"Pamela Caroline Dias <br>(419.171.918-12)"|"24/07/2017"|"ADIANTAMENTO-SES/GABINETE"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Saude - Geral"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"2089-Modernizacao e Manutencao da Gestao"|"Outros"|8250.00|-8250.00|0.00|0.00|0.00
"13693-01"|"O00000/2017"|"Pamela Caroline Dias <br>(419.171.918-12)"|"24/07/2017"|"ADIANTAMENTO-SES/GABINETE"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Saude - Geral"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"2089-Modernizacao e Manutencao da Gestao"|"Outros"|750.00|0.00|750.00|750.00|750.00
"13702-01"|"S00574/2017"|"<b>Max Medical </b><br>Max Medical Com.prod.medicos Hospit.ltda-epp <br>(07.295.038/0001-88)"|"25/07/2017"|"S/C 490/17 AQUIS.DE MATERIAIS P/ESTOMIA RESERVA 3029 CPL 574/17"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Saude - Geral"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"2089-Modernizacao e Manutencao da Gestao"|"Dispensa de Licitacao"|6181.28|0.00|6181.28|6181.28|6181.28
"13703-01"|"S00574/2017"|"Cbs Medico Cientifica Com.e Represent.ltda <br>(48.791.685/0001-68)"|"25/07/2017"|"S/C 490/17 AQUIS.DE MATERIAIS P/ESTOMIA CPL 574/17"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Saude - Geral"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"2089-Modernizacao e Manutencao da Gestao"|"Dispensa de Licitacao"|720.00|0.00|720.00|720.00|720.00
"13717-01"|"O00000/2019"|"Folha de Pagamento - Pessoal"|"26/09/2019"|"EMPENHO DE FOLHA DE PAGTO - 09/2019"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.1.90.16.00-Outras Despesas Variaveis - Pessoal CIVIL"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2246-2113-INOVACAO e Conservacao"|"Outros"|981421.29|0.00|981421.29|981421.29|981421.29
"13718-01"|"O00000/2019"|"Folha de Pagamento - Pessoal"|"26/09/2019"|"EMPENHO DE FOLHA DE PAGTO - 09/2019"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.1.90.11.00-Vencimentos e Vantagens Fixas - Pessoal CIVIL"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2246-2113-INOVACAO e Conservacao"|"Outros"|2883.05|0.00|2883.05|2883.05|2883.05
"13718-01"|"S00461/2017"|"Hipperquimica Comercial Cientifica Ltda Epp <br>(64.138.944/0001-02)"|"25/07/2017"|"SC.486/17 AQ.PHMETRO P/VIGILANCIA EM SAU DE CPL 461/17 RESERVA 2186"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Estruturacao de Unidades de Atencao Especializada"|"4.4.90.52.00-Equipamentos e Material Permanente"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"2089-Modernizacao e Manutencao da Gestao"|"Dispensa de Licitacao"|1540.00|0.00|1540.00|1540.00|1540.00
"13721-01"|"O00000/2018"|"Marlon Gimenis Oliveira <br>(218.089.678-60)"|"28/08/2018"|"ADIANTAMENTO SELC - SELOG"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2113-Inovacao e Conservacao"|"Outros"|5000.00|0.00|5000.00|5000.00|5000.00
"13721-01"|"O00000/2019"|"Folha de Pagamento - Pessoal"|"26/09/2019"|"EMPENHO DE FOLHA DE PAGTO - 09/2019"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.1.90.11.00-Vencimentos e Vantagens Fixas - Pessoal CIVIL"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2222-Atencao a Saude da Populacao para Procedimentos no Mac"|"Outros"|8617.04|0.00|8617.04|8617.04|8617.04
"13722-01"|"O00000/2019"|"Folha de Pagamento - Pessoal"|"26/09/2019"|"EMPENHO DE FOLHA DE PAGTO - 09/2019"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.1.90.11.00-Vencimentos e Vantagens Fixas - Pessoal CIVIL"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2222-Atencao a Saude da Populacao para Procedimentos no Mac"|"Outros"|96040.48|0.00|96040.48|96040.48|96040.48
"13723-01"|"O00000/2019"|"Folha de Pagamento - Pessoal"|"26/09/2019"|"EMPENHO DE FOLHA DE PAGTO - 09/2019"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.1.90.11.00-Vencimentos e Vantagens Fixas - Pessoal CIVIL"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2222-Atencao a Saude da Populacao para Procedimentos no Mac"|"Outros"|300795.73|0.00|300795.73|300795.73|300795.73
"13725-01"|"O00000/2019"|"Folha de Pagamento - Pessoal"|"26/09/2019"|"EMPENHO DE FOLHA DE PAGTO - 09/2019"|"Saude"|"Vigilancia Epidemiologica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 05 - Vigilancia em Saude"|"3.1.90.16.00-Outras Despesas Variaveis - Pessoal CIVIL"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2221-Assist Fin Compl Aos Estados,df, Municipios para a Gentes de Combate as Endemias"|"Outros"|42520.00|0.00|42520.00|42520.00|42520.00
"13726-01"|"O00000/2019"|"Folha de Pagamento - Pessoal"|"26/09/2019"|"EMPENHO DE FOLHA DE PAGTO - 09/2019"|"Saude"|"Vigilancia Epidemiologica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 05 - Vigilancia em Saude"|"3.1.90.16.00-Outras Despesas Variaveis - Pessoal CIVIL"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2221-Assist Fin Compl Aos Estados,df, Municipios para a Gentes de Combate as Endemias"|"Outros"|150584.22|0.00|150584.22|150584.22|150584.22
"13727-01"|"O00000/2019"|"Folha de Pagamento - Pessoal"|"26/09/2019"|"EMPENHO DE FOLHA DE PAGTO - 09/2019"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.1.90.16.00-Outras Despesas Variaveis - Pessoal CIVIL"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2222-Atencao a Saude da Populacao para Procedimentos no Mac"|"Outros"|71520.77|0.00|71520.77|71520.77|71520.77
"13729-01"|"O00000/2018"|"Elza Maria Germano <br>(037.855.718-10)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|792.89|-792.89|0.00|0.00|0.00
"13730-01"|"O00000/2018"|"Elza Maria Germano <br>(037.855.718-10)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|792.89|0.00|792.89|792.89|792.89
"13731-01"|"O00000/2018"|"Fatima Aparecida Soares Clemente <br>(028.433.508-83)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|792.89|0.00|792.89|792.89|792.89
"13732-01"|"O00000/2018"|"Francisco Carlos Camargo <br>(037.588.228-66)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|528.60|0.00|528.60|528.60|528.60
"13733-01"|"O00000/2018"|"Gessea Gori Soares <br>(062.808.128-63)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|1057.19|0.00|1057.19|1057.19|1057.19
"13734-01"|"O00000/2018"|"Lourdita Fazano Novaes <br>(149.815.238-40)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|528.60|0.00|528.60|528.60|528.60
"13735-01"|"O00000/2018"|"Marcia Oralinda Alves <br>(002.920.138-17)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|1057.19|0.00|1057.19|1057.19|1057.19
"13736-01"|"O00000/2018"|"Maria Celia Lopes <br>(060.437.858-03)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|528.60|0.00|528.60|528.60|528.60
"13737-01"|"O00000/2018"|"Maria Regina Laserra Belino <br>(900.257.768-00)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|792.89|0.00|792.89|792.89|792.89
"13738-01"|"O00000/2018"|"Maria Silvia de C.thomaz <br>(037.297.358-29)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|1057.19|0.00|1057.19|1057.19|1057.19
"13739-01"|"O00000/2017"|"Wesley Ricardo de Campos <br>(291.232.708-37)"|"25/07/2017"|"ADIANTAMENTO SES/TRASP.DE PACIENTES"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Saude - Geral"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Fortalecimento da Atencao Primaria a Saude"|"2089-Modernizacao e Manutencao da Gestao"|"Outros"|5000.00|0.00|5000.00|5000.00|5000.00
"13739-01"|"O00000/2018"|"Milene Olga Rigolio Pasquale <br>(056.724.808-96)"|"28/08/2018"|"PREMIO INCENTIVO FUNCIONARIOS ESTADUAIS MUNICIPALIZ.PERIODO 21/06/18 A 20/08/18"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 04 - Atencao Basica"|"3.3.90.36.00-Outros Servicos de Terceiros - Pessoa Fisica"|"Secr.da Saude"|"Fortalecimento de Atencao a Saude"|"2079-Pab Fixo"|"Outros"|1057.19|0.00|1057.19|1057.19|1057.19
